,onwind,solar,load
807,0.619881523,0.788374589,1610.06
808,0.61939789,0.744379377,1626.5
809,0.588608198,0.289317751,1670.52
810,0.600365709,0.008759513,1825.55
811,0.586175457,0,1948.85
812,0.537140697,0,1995.78
813,0.462422521,0,1991.03
814,0.341998058,0,1879.41
815,0.273609163,0,1666.36
816,0.271470634,0,1483.42
817,0.281295267,0,1259.02
818,0.274038988,0,1174.27
819,0.275080369,0,1178.52
820,0.349404219,0,1171.73
821,0.453144007,0,1165.93
822,0.568444154,0,1246.03
823,0.64662115,0,1260.69
824,0.667830626,0.133089748,1288.78
825,0.586979615,0.538570277,1452.5
826,0.43195376,0.688057686,1553.92
827,0.366105251,0.660469323,1525.01
828,0.380670566,0.605361889,1513.55
829,0.394032838,0.608219634,1533.91
830,0.417351801,0.652281939,1514.9
831,0.49352316,0.667690699,1506.56
832,0.574640519,0.481300873,1489.93
833,0.577215436,0.192711771,1495.2
834,0.752296001,0.003902154,1675.85
835,0.781242048,0,1788.23
836,0.770848473,0,1841.95
